base_model,correction,dataset,role,n,domain,rmse,mae,bias_observed_minus_pred,r2,spearman
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_gutenberg_pg_19_val_loss,1.0601393037344469,1.0544877019025138,-1.0544877019025138,-18.192777508239665,0.9266941391941391
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_pile_cc_val_loss,0.8355018735508258,0.8316077913589741,-0.8316077913589741,-67.75067088490673,0.7082417582417582
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_ubuntu_irc_val_loss,1.2600073267678884,1.1547066851520928,-1.1434064534953412,-7.880580395171533,0.8841117216117216
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_hackernews_val_loss,0.7510192847954993,0.7459964158302708,-0.7459964158302708,-13.55092309622525,0.8343864468864469
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_pubmed_abstracts_val_loss,0.5546858547118518,0.5237848725363252,-0.5237848725363252,-23.05727212242776,0.8739468864468863
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,metric/the_pile_uspto_backgrounds_val_loss,0.4008439072349893,0.3665014249120627,-0.3665014249120627,-7.144034777574088,0.9420787545787543
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_arxiv_val_loss,0.7015549510835575,0.5782064124846635,0.2921185635260744,-4.264432234061768,0.8884408602150538
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_freelaw_val_loss,0.6415504176825213,0.5210763005985808,-0.42025626519626347,-3.3371538120729722,0.8408698156682027
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_pubmed_central_val_loss,0.666371723400083,0.5471855515641159,0.3251261665995241,-6.108402313229704,0.8768721198156683
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_wikipedia_en_val_loss,0.86176557995879,0.801144268295067,-0.801144268295067,-12.988536434129085,0.5352471018991318
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_dm_mathematics_val_loss,0.7974983234593389,0.5573153990869804,0.19940448597796398,-2.547423169060972,0.9054339477726574
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_github_val_loss,2.021556013935185,1.9203899349285274,1.9203899349285274,-53.95093126562836,0.8197964669738864
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_stackexchange_val_loss,0.5248342015960469,0.45500664080570136,0.13961752273253075,-6.7051626233047354,0.7109580328616903
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_gutenberg_pg_19_val_loss,1.3999642598679487,1.372744982460399,-1.372744982460399,-41.85458295206483,0.6228878648233488
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_pile_cc_val_loss,1.4242570844480582,1.4037616701969375,-1.4037616701969375,-44.88959771933319,0.39741743471582186
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_ubuntu_irc_val_loss,0.6313583894391493,0.5798445540124262,-0.1270195367344511,-3.1515739156864813,0.8911770353302612
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_hackernews_val_loss,1.4246670024480717,1.4019972454894405,-1.4019972454894405,-67.86536211635052,0.3518625192012289
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_pubmed_abstracts_val_loss,0.6752036161107131,0.5757416827746472,-0.5532237798936981,-8.877760704615683,0.6021025345622121
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,metric/the_pile_uspto_backgrounds_val_loss,0.45980311602435003,0.3618601337325621,-0.31204395146543673,-3.2112735133336328,0.6794196359412534
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_arxiv_val_loss,0.9793819320486243,0.7763510285928937,0.6860828457048758,-15.753487596130185,0.8505664362519203
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_freelaw_val_loss,0.5555301351115455,0.4725374263686815,-0.15204310946043145,-3.5580538573923253,0.7892665130568356
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_pubmed_central_val_loss,0.9800705787221364,0.796847503492676,0.7480913324895365,-22.03806371970421,0.8033794162826422
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_wikipedia_en_val_loss,0.664660574451572,0.5736633471881846,-0.5719963325557277,-9.18168648626257,0.45967741935483875
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_dm_mathematics_val_loss,1.003741557346286,0.692558714924796,0.5259593383242308,-8.64773168890406,0.9070660522273426
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_github_val_loss,2.7837388309705826,2.6976872426219622,2.6976872426219622,-163.74632256064152,0.7439036098310292
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_stackexchange_val_loss,0.7654083476125683,0.6241596894283855,0.535785183323435,-23.331538156074117,0.5934931055187542
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_gutenberg_pg_19_val_loss,1.3290422612442592,1.2958898001769588,-1.2958898001769588,-46.75794830547181,0.5579397081413211
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_pile_cc_val_loss,1.3302186933496785,1.3070730202633412,-1.3070730202633412,-45.29446639047221,0.35157450076804914
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_ubuntu_irc_val_loss,0.746121388416833,0.5572185080203527,0.3075084082943249,-7.463551777411508,0.8441921586648449
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_hackernews_val_loss,1.3518559785696291,1.3252676082633574,-1.3252676082633574,-69.25366730236104,0.26334485407066055
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_pubmed_abstracts_val_loss,0.5090019387538205,0.4211140730026057,-0.30163206529867326,-6.008369675948509,0.5155529953917051
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,metric/the_pile_uspto_backgrounds_val_loss,0.3641388589221307,0.3258015786007115,-0.023921931786793395,-2.380010045015842,0.620190576949402
