axis,donor_index,to1_index,to2_index,step,minimum_corner_weight,loss00,loss10,loss01,loss11,interaction_loss,complementarity_benefit,all_corners_training_hull_supported,is_empirical_complementarity_evidence
Q_A_topsis_0_1,1,0,7,0.0004910185151886694,0.0018482155285736831,2.3855781852659437,2.385502920718694,2.3833466932520047,2.3832714287047554,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,1,0,8,0.001,0.0018537174835859757,2.3855781852659437,2.385424902762492,2.3851376148622245,2.3849843323587727,0.0,-0.0,True,False
Q_A_topsis_0_1,1,0,9,0.00020625465927938603,0.0018804937264666698,2.3855781852659437,2.3855465700354204,2.38460013046368,2.3845685152331573,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,1,0,10,0.001,0.0018483305172966027,2.3855781852659437,2.385424902762492,2.3850990178492837,2.384945735345832,0.0,-0.0,True,False
Q_A_topsis_0_1,1,0,11,0.001,0.0018551087843989508,2.3855781852659437,2.385424902762492,2.385292940241252,2.3851396577378,-4.440892098500626e-16,4.440892098500626e-16,True,False
Q_A_topsis_0_1,1,0,12,0.001,0.0018512874299246181,2.3855781852659437,2.385424902762492,2.383106617789805,2.382953335286353,0.0,-0.0,True,False
Q_A_topsis_0_1,1,0,13,0.001,0.0018222530294978929,2.3855781852659437,2.385424902762492,2.3841302035857486,2.3839769210822968,0.0,-0.0,True,False
Q_A_topsis_0_1,1,0,14,0.001,0.0018098205626884852,2.3855781852659437,2.385424902762492,2.3834036977010444,2.3832504151975926,0.0,-0.0,True,False
Q_A_topsis_0_1,1,0,15,0.001,0.0018518196151781818,2.3855781852659437,2.385424902762492,2.3850864897234176,2.384933207219966,0.0,-0.0,True,False
Q_A_topsis_0_1,1,0,16,0.001,0.0018519958436158575,2.3855781852659437,2.385424902762492,2.3852962510232354,2.3851429685197836,0.0,-0.0,True,False
Q_A_topsis_0_1,1,2,3,0.0005184546502167023,0.0018475036125663714,2.3855781852659437,2.38431898758249,2.385467945185835,2.3842087475023814,0.0,-0.0,True,False
Q_A_topsis_0_1,1,2,4,0.0005210999166237063,0.001846964709678872,2.3855781852659437,2.384312562886848,2.3854184878679905,2.384152865488895,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,1,2,5,0.0005060826610868413,0.0018385270231539607,2.3855781852659437,2.3843490360738007,2.3847912183402427,2.3835620691481,4.440892098500626e-16,-4.440892098500626e-16,True,False
Q_A_topsis_0_1,1,2,6,0.0005198502929741142,0.0018454189447443428,2.3855781852659437,2.3843155979125807,2.3856138196537926,2.3843512323004297,0.0,-0.0,True,False
