Q0,cost_family,Lctx,budget_flops,feasible_grid_points,frontier_points,best_N_B,best_D_B,best_Q,best_loss,best_total_cost_flops,best_quality_cost_flops,best_base_train_attn_cost_flops,Q_on_lower_bound,Q_on_upper_bound
0.5,power,2048,1e+19,719,42,0.21193206564500142,6.339216197606768,0.55,3.26620328491974,9.53057426102506e+18,9.193844491591572e+17,8.611189811865903e+18,False,False
0.5,power,2048,1e+22,2431,146,8.292643830847549,172.85840650016289,1.0,2.0952933966568046,9.99813540012471e+21,8.102737804695135e+20,9.187861619655196e+21,False,True
0.5,power,2048,1e+24,2475,151,11.965825,299.893,1.0,2.0219298975598545,2.440638752524456e+22,1.4057484375e+21,2.3000639087744557e+22,False,True
0.5,power,4096,1e+19,709,41,0.3058062134494701,3.6539259348445197,0.65,3.2806691573087816,9.739119307524393e+18,2.1193912273952858e+18,7.619728080129107e+18,False,False
0.5,power,4096,1e+22,2426,145,11.965825,99.63563236812982,1.0,2.1178869562689053,8.597045976140055e+21,4.670420267256085e+20,8.130003949414447e+21,False,True
0.5,power,4096,1e+24,2475,152,11.965825,299.893,1.0,2.0219298975598545,2.587622367263912e+22,1.4057484375e+21,2.447047523513912e+22,False,True
0.5,power,8192,1e+19,679,45,0.3058062134494701,3.6539259348445197,0.6,3.2987815290590548,9.760988785240842e+18,1.2258921511403364e+18,8.535096634100506e+18,False,False
0.5,power,8192,1e+22,2417,151,11.965825,99.63563236812982,1.0,2.1178869562689053,9.573714681466238e+21,4.670420267256085e+20,9.10667265474063e+21,False,True
0.5,power,8192,1e+24,2475,158,11.965825,299.893,1.0,2.0219298975598545,2.8815895967428237e+22,1.4057484375e+21,2.7410147529928236e+22,False,True
0.5,power,32768,1e+19,578,51,0.21193206564500142,3.6539259348445197,0.5,3.416011384494132,9.721307874778204e+18,0.0,9.721307874778204e+18,True,False
0.5,power,32768,1e+22,2365,163,3.982848110223703,172.85840650016289,1.0,2.1632727580613644,9.453035427770562e+21,8.102737804695135e+20,8.642761647301048e+21,False,True
0.5,power,32768,1e+24,2475,174,11.965825,299.893,1.0,2.0219298975598545,4.6453929736162955e+22,1.4057484375e+21,4.504818129866295e+22,False,True
0.5,power,131072,1e+19,386,62,0.21193206564500142,1.2139703865863611,0.75,3.6591986445749938,9.829270067057576e+18,1.5411733423459663e+18,8.28809672471161e+18,False,False
0.5,power,131072,1e+22,2242,180,2.7602226182022083,99.63563236812982,1.0,2.254558073510372,9.326534403233426e+21,4.670420267256085e+20,8.859492376507817e+21,False,True
0.5,power,131072,1e+24,2475,200,11.965825,299.893,1.0,2.0219298975598545,1.1700606481110182e+23,1.4057484375e+21,1.1560031637360182e+23,False,True
0.5,logarithmic,2048,1e+19,769,50,0.44126140091018634,2.1061238994135967,1.0,3.2346566665366185,8.509963542742209e+18,2.553194204379415e+18,5.956769338362794e+18,False,True
0.5,logarithmic,2048,1e+22,2431,141,8.292643830847549,172.85840650016289,1.0,2.0952933966568046,9.397412957910917e+21,2.0955133825572107e+20,9.187861619655196e+21,False,True
0.5,logarithmic,2048,1e+24,2475,146,11.965825,299.893,1.0,2.0219298975598545,2.3364190856824784e+22,3.6355176908022546e+20,2.3000639087744557e+22,False,True
0.5,logarithmic,4096,1e+19,762,51,0.44126140091018634,2.1061238994135967,1.0,3.2346566665366185,8.890625787030995e+18,2.553194204379415e+18,6.33743158265158e+18,False,True
0.5,logarithmic,4096,1e+22,2431,141,8.292643830847549,172.85840650016289,1.0,2.0952933966568046,9.984555387923831e+21,2.0955133825572107e+20,9.77500404966811e+21,False,True
0.5,logarithmic,4096,1e+24,2475,146,11.965825,299.893,1.0,2.0219298975598545,2.4834027004219345e+22,3.6355176908022546e+20,2.447047523513912e+22,False,True
0.5,logarithmic,8192,1e+19,728,57,0.44126140091018634,2.1061238994135967,1.0,3.2346566665366185,9.651950275608566e+18,2.553194204379415e+18,7.098756071229151e+18,False,True
0.5,logarithmic,8192,1e+22,2420,145,11.965825,99.63563236812982,1.0,2.1178869562689053,9.227458102920015e+21,1.2078544817938588e+20,9.10667265474063e+21,False,True
0.5,logarithmic,8192,1e+24,2475,152,11.965825,299.893,1.0,2.0219298975598545,2.7773699299008462e+22,3.6355176908022546e+20,2.7410147529928236e+22,False,True
0.5,logarithmic,32768,1e+19,614,60,0.3058062134494701,2.1061238994135967,0.8,3.380232384730279,9.79326361884446e+18,1.707919509129847e+18,8.085344109714611e+18,False,False
0.5,logarithmic,32768,1e+22,2365,156,3.982848110223703,172.85840650016289,1.0,2.1632727580613644,8.852312985556769e+21,2.0955133825572107e+20,8.642761647301048e+21,False,True
0.5,logarithmic,32768,1e+24,2475,167,11.965825,299.893,1.0,2.0219298975598545,4.541173306774318e+22,3.6355176908022546e+20,4.504818129866295e+22,False,True
0.5,logarithmic,131072,1e+19,405,84,0.21193206564500142,1.2139703865863611,1.0,3.568636785823629,9.759758556279792e+18,1.471661831568182e+18,8.28809672471161e+18,False,True
0.5,logarithmic,131072,1e+22,2244,183,2.7602226182022083,99.63563236812982,1.0,2.254558073510372,8.980277824687203e+21,1.2078544817938588e+20,8.859492376507817e+21,False,True
0.5,logarithmic,131072,1e+24,2475,203,11.965825,299.893,1.0,2.0219298975598545,1.1596386814268205e+23,3.6355176908022546e+20,1.1560031637360182e+23,False,True
