donor,receiver,model_epsilon_count,median_delta_scalar_loss_z,min_delta_scalar_loss_z,max_delta_scalar_loss_z,improving_fraction,sign_consistent
train_the_pile_uspto_backgrounds,train_the_pile_philpapers,6,-0.003431158478688301,-0.03596822261590693,0.01724313250940096,0.5,False
train_the_pile_uspto_backgrounds,train_the_pile_pile_cc,6,-0.0029327065429804733,-0.008098821115985588,-0.00022945262240037234,1.0,True
train_the_pile_uspto_backgrounds,train_the_pile_pubmed_abstracts,6,-0.000268685460416751,-0.00472616536313919,0.0012282248104318327,0.6666666666666666,False
train_the_pile_uspto_backgrounds,train_the_pile_pubmed_central,6,0.00028522332995259414,-0.011382871424288066,0.0013362673646670764,0.5,False
train_the_pile_uspto_backgrounds,train_the_pile_stackexchange,6,-0.0017452380568707127,-0.003795122706390708,-0.0007937994751935906,1.0,True
train_the_pile_uspto_backgrounds,train_the_pile_ubuntu_irc,6,-0.024482813176889662,-0.03454874511950795,0.0028241893240839033,0.8333333333333334,False
train_the_pile_uspto_backgrounds,train_the_pile_wikipedia_en,6,0.00012115674398258114,-0.0010656623491072659,0.002509676991385268,0.5,False
train_the_pile_wikipedia_en,train_the_pile_arxiv,6,-0.09893658352542023,-0.3002718418360427,0.04076922409055378,0.5,False
train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,6,-0.0011386166035271539,-0.004898378438377371,0.001710801417315,0.5,False
train_the_pile_wikipedia_en,train_the_pile_enron_emails,6,0.40661036887355334,0.2124921991663354,0.7614615364552935,0.0,True
train_the_pile_wikipedia_en,train_the_pile_europarl,6,0.13810231171596155,0.04476699067282719,0.21801954559042158,0.0,True
train_the_pile_wikipedia_en,train_the_pile_freelaw,6,0.0009377863603638181,-0.00012416419800975742,0.0021050770599033153,0.16666666666666666,False
train_the_pile_wikipedia_en,train_the_pile_github,6,0.005161873957687857,-0.012077454275545407,0.006659505689601497,0.3333333333333333,False
train_the_pile_wikipedia_en,train_the_pile_gutenberg_pg_19,6,-0.004718612133772115,-0.012671727112338937,0.0031479554090718675,0.8333333333333334,False
train_the_pile_wikipedia_en,train_the_pile_hackernews,6,-0.0012514342266415068,-0.0225416819345432,0.0015550578012323846,0.5,False
train_the_pile_wikipedia_en,train_the_pile_nih_exporter,6,0.021149451817734394,-0.029064489002296745,0.0701769132561319,0.3333333333333333,False
train_the_pile_wikipedia_en,train_the_pile_philpapers,6,-0.0038158452597755743,-0.03654224193815292,0.018491571845920596,0.5,False
train_the_pile_wikipedia_en,train_the_pile_pile_cc,6,-0.00354479902840657,-0.006850381779466119,-0.0012513718881231317,1.0,True
train_the_pile_wikipedia_en,train_the_pile_pubmed_abstracts,6,0.00014312586837286756,-0.0052799682818127636,0.0004916104603046034,0.5,False
train_the_pile_wikipedia_en,train_the_pile_pubmed_central,6,0.0004426129340501239,-0.011918185960792638,0.0018465351648334627,0.3333333333333333,False
train_the_pile_wikipedia_en,train_the_pile_stackexchange,6,-0.0017527385566839526,-0.005490655340683159,-0.00029697423748759055,1.0,True
train_the_pile_wikipedia_en,train_the_pile_ubuntu_irc,6,-0.025529613015558256,-0.033300305782988315,0.0019454526582549647,0.8333333333333334,False
train_the_pile_wikipedia_en,train_the_pile_uspto_backgrounds,6,-1.864567354251112e-05,-0.0026700915615428533,0.0013417631330895907,0.5,False
