base_model,correction,dataset,role,n,rmse_mean_loss,mae_mean_loss,bias_observed_minus_pred_mean_loss,r2_mean_loss,spearman_mean_loss,rmse_domain_macro,mae_domain_macro,rmse_pooled_all_domains,r2_domain_macro,spearman_domain_macro
ilr_ridge_qproxy,C0_none,A10_A11_test_1b,cross_scale_retrospective,64,2.9540039879168543,2.9525165420786634,-2.9525165420786634,-3233.548785582531,0.6629578754578753,2.9743409870687194,2.9525165420786625,3.0219151267723325,-606.2208422717774,0.8642892364046209
ilr_ridge_qproxy,C0_none,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,3.560120320956621,3.553320380724261,-3.553320380724261,-1370.9835857141354,-0.5018721198156681,3.58899168165376,3.5539890283706344,3.6065021374182415,-234.7795410644708,0.7017296438292627
ilr_ridge_qproxy,C0_none,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,3.942963361861501,3.936233445437326,-3.936233445437326,-1432.085050855821,-0.5538594470046083,3.974547584693052,3.936586097967704,3.9939469786150856,-382.32170391493935,0.6384728728084114
ilr_ridge_qproxy,C1_global,A4_A5_train_1m,base_fit,512,0.2792006866480715,0.2160154983995279,6.591949208711867e-17,0.2595944485382246,0.5327906667353315,0.350545899049142,0.271399176981938,0.3758977327398505,0.7632091088053119,0.8887138362568697
ilr_ridge_qproxy,C1_global,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.2502428318998485,0.2040286649389611,-0.0572181090122147,0.1879476341662609,0.4729064145113297,0.3206281987742405,0.257432026801084,0.3403589354103526,0.7731178930689351,0.8950243850907617
ilr_ridge_qproxy,C1_global,A8_A9_test_60m,scale_calibration_in_sample,256,0.2144869563917084,0.1709770544404531,-0.0572181090122146,0.0397360834115934,0.4292379549095902,0.4911103756902119,0.4172572355078676,0.5496227271115075,-0.0398485290118215,0.8913739942250472
ilr_ridge_qproxy,C1_global,A10_A11_test_1b,cross_scale_retrospective,64,0.4992238196110102,0.4903455849566453,-0.4903455849566453,-91.38089147364792,0.6629578754578753,0.6171642855937893,0.576301432568053,0.8093552340312437,-20.878805349467047,0.8642892364046209
ilr_ridge_qproxy,C1_global,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,0.348570035089435,0.2946378854568655,-0.2704257712282364,-12.1522381401817,-0.5018721198156681,0.624709577765869,0.5208026911008841,0.673722522167935,-5.380603427352289,0.7017296438292627
ilr_ridge_qproxy,C1_global,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,0.233766227662052,0.1986496098937684,0.0402531140733138,-4.037209568532159,-0.5538594470046083,0.6049321977629121,0.5057208995073613,0.6777160498333872,-7.210896068984804,0.6384728728084114
ilr_ridge_qproxy,C1_domain,A4_A5_train_1m,base_fit,512,0.2792006866480715,0.2160154983995279,6.591949208711867e-17,0.2595944485382246,0.5327906667353315,0.350545899049142,0.271399176981938,0.3758977327398505,0.7632091088053119,0.8887138362568697
ilr_ridge_qproxy,C1_domain,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.2502428318998485,0.2040286649389611,-0.0572181090122147,0.1879476341662609,0.4729064145113297,0.3206281987742405,0.257432026801084,0.3403589354103526,0.7731178930689351,0.8950243850907617
ilr_ridge_qproxy,C1_domain,A8_A9_test_60m,scale_calibration_in_sample,256,0.2144869563917084,0.1709770544404531,-0.0572181090122147,0.0397360834115934,0.4292379549095902,0.3375410306869338,0.2689362254759384,0.370607376472966,0.6089984193441396,0.8913739942250472
ilr_ridge_qproxy,C1_domain,A10_A11_test_1b,cross_scale_retrospective,64,0.4992238196110097,0.4903455849566447,-0.4903455849566447,-91.38089147364776,0.6629578754578753,0.6864203411606249,0.6420792579024037,0.7564011149998927,-18.896220597974924,0.8642892364046209
ilr_ridge_qproxy,C1_domain,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,0.3485700350894349,0.2946378854568654,-0.2704257712282363,-12.152238140181694,-0.5018721198156681,0.9407988214964472,0.8520211366484655,1.0441270624465595,-19.980937905605533,0.7017296438292627
ilr_ridge_qproxy,C1_domain,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,0.233766227662052,0.1986496098937684,0.0402531140733139,-4.037209568532162,-0.5538594470046083,1.0279162365784358,0.9127822723803772,1.1872525021283302,-32.57037673552231,0.6384728728084114
ilr_ridge_qproxy,C2_mixture_conditioned,A4_A5_train_1m,base_fit,512,0.2792006866480715,0.2160154983995279,6.591949208711867e-17,0.2595944485382246,0.5327906667353315,0.350545899049142,0.271399176981938,0.3758977327398505,0.7632091088053119,0.8887138362568697
ilr_ridge_qproxy,C2_mixture_conditioned,A6_A7_test_1m,same_scale_retrospective; also_scale_calibration_member,256,0.2502428318998485,0.2040286649389611,-0.0572181090122147,0.1879476341662609,0.4729064145113297,0.3206281987742405,0.257432026801084,0.3403589354103526,0.7731178930689351,0.8950243850907617
ilr_ridge_qproxy,C2_mixture_conditioned,A8_A9_test_60m,scale_calibration_in_sample,256,0.2336833671686305,0.1871856204886299,-0.0572181090122147,-0.1398414355148223,0.2759148260471503,0.320498416990027,0.2545945772062755,0.3386754992678898,0.6450189509955329,0.8604463594027851
ilr_ridge_qproxy,C2_mixture_conditioned,A10_A11_test_1b,cross_scale_retrospective,64,0.4653065775855751,0.4543767703975791,-0.4543767703975791,-79.25460006198716,0.4439560439560439,0.6544849681290615,0.6135077241563287,0.7102708879139414,-18.555697070831705,0.7301563820794588
ilr_ridge_qproxy,C2_mixture_conditioned,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,0.3294516723005165,0.2732571120275129,-0.2520956430204706,-10.749056607280876,-0.2206701228878648,0.911926936442764,0.8324848011958152,1.0348917909598732,-19.7347835538226,0.607887182994465
ilr_ridge_qproxy,C2_mixture_conditioned,A14_A15_est_70b,supplied_estimate_extrapolation_audit,63,0.2339539826713747,0.1923431954034958,0.0624559311364778,-4.04530433178796,-0.1798675115207373,1.010333211085637,0.9267824381713482,1.191223073955134,-32.540841020193064,0.5093165833797296
quadratic_ridge_qproxy,C0_none,A4_A5_train_1m,base_fit,512,0.1844319052421286,0.1401723003334728,-1.2663481374630692e-16,0.6769209421905429,0.8285032823210996,0.2087552391927552,0.1582257085741981,0.2281812033453842,0.9200865632602708,0.9590154423202368
quadratic_ridge_qproxy,C0_none,A6_A7_test_1m,same_scale_retrospective,256,0.2221708939665682,0.1755523609890813,-0.0436265636630203,0.3599188042147729,0.6924224650949874,0.257753203995714,0.2021712896566114,0.28459804087601,0.865837400654956,0.9343672421078576
quadratic_ridge_qproxy,C0_none,A8_A9_test_60m,cross_scale_retrospective,256,1.5184470908829288,1.5029973523512905,-1.5029973523512905,-47.12693060290131,0.6654397459372854,1.544925157000555,1.5066118909782538,1.6000657161060257,-7.758599188767375,0.9298741020652498
quadratic_ridge_qproxy,C0_none,A10_A11_test_1b,cross_scale_retrospective,64,2.635792493075813,2.631454278967001,-2.631454278967001,-2574.217914084043,0.4907509157509158,2.6701353480796306,2.632172673276144,2.7078956300804564,-489.2159762763831,0.8427761341222877
quadratic_ridge_qproxy,C0_none,A12_A13_est_10b,supplied_estimate_extrapolation_audit,63,3.5707616727175715,3.5522854005164586,-3.5522854005164586,-1379.1976786552775,-0.5859254992319509,3.604052807236078,3.5522854005164595,3.6203480498157328,-235.78008630608437,0.610586316897673
