task,branch,axis,model,fold,n,mae,rmse,r2,signed_error,spearman
A60M,connection,quality_score_soft_proxy_0_1,selected,4,51,0.15284356545076228,0.225747873687874,-0.43568359842431703,-0.0449024678202655,0.44588235294117645
A60M,full_mixture,none,affine,0,52,0.13413889326381587,0.17093820784248245,0.2545122571095114,-0.03396381416235325,0.5462306838555451
A60M,full_mixture,none,affine,1,51,0.1528495055874136,0.1964204608466441,0.35750592875022214,0.019537312056930142,0.6990950226244343
A60M,full_mixture,none,affine,2,51,0.13635283672811352,0.16803725655478852,0.27362241965464107,0.044236572864466375,0.4935746606334841
A60M,full_mixture,none,affine,3,51,0.14661223563642103,0.20962573125435016,0.30108298213950935,-0.008951375193434025,0.5076923076923077
A60M,full_mixture,none,affine,4,51,0.1454492811117322,0.1964870246792093,-0.08762493285453665,-0.022721584649882654,0.4666968325791855
A60M,full_mixture,none,mean,0,52,0.16042292693268745,0.20051644229574178,-0.025798820581763193,-0.03179939217932058,
A60M,full_mixture,none,mean,1,51,0.19122094922616015,0.24574099735903848,-0.005659374348043755,0.018434712732706093,
A60M,full_mixture,none,mean,2,51,0.16510193754987013,0.2042732550731508,-0.07343137522194731,0.053427542409758784,
A60M,full_mixture,none,mean,3,51,0.16759531919395648,0.25186285015037624,-0.008938422717748029,-0.0237062154873815,
A60M,full_mixture,none,mean,4,51,0.15234395827309655,0.18907480954220604,-0.00711426006091509,-0.015891290517042467,
